A2M183CETUMR96_speedup,A2M183CETUMR96_rubble,A2M183CETUMR96_triage_red,A2M183CETUMR96_triage_yellow,A2M183CETUMR96_triage_green,A2M183CETUMR96_effort,A2M183CETUMR96_timestamp,A2M183CETUMR96_x,A2M183CETUMR96_y,A2M183CETUMR96_event,A33VGSEJ44ORMF_speedup,A33VGSEJ44ORMF_rubble,A33VGSEJ44ORMF_triage_red,A33VGSEJ44ORMF_triage_yellow,A33VGSEJ44ORMF_triage_green,A33VGSEJ44ORMF_effort,A33VGSEJ44ORMF_timestamp,A33VGSEJ44ORMF_x,A33VGSEJ44ORMF_y,A33VGSEJ44ORMF_event,A2JDYN6QM8M5UN_speedup,A2JDYN6QM8M5UN_rubble,A2JDYN6QM8M5UN_triage_red,A2JDYN6QM8M5UN_triage_yellow,A2JDYN6QM8M5UN_triage_green,A2JDYN6QM8M5UN_effort,A2JDYN6QM8M5UN_timestamp,A2JDYN6QM8M5UN_x,A2JDYN6QM8M5UN_y,A2JDYN6QM8M5UN_event,A1WH32GYQOHIRQ_speedup,A1WH32GYQOHIRQ_rubble,A1WH32GYQOHIRQ_triage_red,A1WH32GYQOHIRQ_triage_yellow,A1WH32GYQOHIRQ_triage_green,A1WH32GYQOHIRQ_effort,A1WH32GYQOHIRQ_timestamp,A1WH32GYQOHIRQ_x,A1WH32GYQOHIRQ_y,A1WH32GYQOHIRQ_event,publish,A2M183CETUMR96_triage,A2M183CETUMR96_exploration,A2M183CETUMR96_move,A33VGSEJ44ORMF_triage,A33VGSEJ44ORMF_exploration,A33VGSEJ44ORMF_move,A2JDYN6QM8M5UN_triage,A2JDYN6QM8M5UN_exploration,A2JDYN6QM8M5UN_move,A1WH32GYQOHIRQ_triage,A1WH32GYQOHIRQ_exploration,A1WH32GYQOHIRQ_move
0,0.2,0,0,0,5,1655837166.570779,18,6,,0,0,0,0,0,1,1655837166.051247,16,5,,0,0,0,0,0,7,1655837165.80822,15,4,,0,0,0,0,0,0,1655837165.977751,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,5,1655837166.570779,18,6,,0,0,0,0,0,1,1655837166.051247,16,5,,0,0,0,0,0,7,1655837166.571863,15,4,,0,0,0,0,0,0,1655837165.977751,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,5,1655837166.570779,18,6,,0,0,0,0,0,2,1655837166.684495,16,6,,0,0,0,0,0,7,1655837166.571863,15,4,,0,0,0,0,0,0,1655837165.977751,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,6,1655837166.570779,19,6,,0,0,0,0,0,2,1655837166.684495,16,6,,0,0,0,0,0,7,1655837166.571863,15,4,,0,0,0,0,0,0,1655837166.932087,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,6,1655837167.601519,19,6,,0,0,0,0,0,2,1655837166.684495,16,6,,0,0,0,0,0,8,1655837166.571863,15,5,,0,0,0,0,0,0,1655837166.932087,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,7,1655837167.601519,19,7,,0,0,0,0,0,2,1655837166.684495,16,6,,0,0,0,0,0,8,1655837167.65363,15,5,,0,0,0,0,0,0,1655837166.932087,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,7,1655837167.601519,19,7,,0,0,0,0,0,2,1655837167.811805,16,6,,0,0,0,0,0,9,1655837167.65363,15,6,,0,0,0,0,0,0,1655837166.932087,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,7,1655837167.601519,19,7,,0,0,0,0,0,2,1655837167.811805,16,6,,0,0,0,0,0,9,1655837167.65363,15,6,,0,0,0,0,0,0,1655837167.969058,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,8,1655837168.58198,19,8,,0,0,0,0,0,2,1655837167.811805,16,6,,0,0,0,0,0,9,1655837167.65363,15,6,,0,0,0,0,0,0,1655837167.969058,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,9,1655837168.58198,19,9,,0,0,0,0,0,2,1655837167.811805,16,6,,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,0,1655837167.969058,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,9,1655837168.58198,19,9,,0,0,0,0,0,2,1655837168.905169,16,6,,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,0,1655837167.969058,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,9,1655837168.58198,19,9,,0,0,0,0,0,2,1655837168.905169,16,6,,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,0,1655837169.130403,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,9,1655837168.58198,19,9,,0,0,0,0,0,2,1655837169.275513,16,6,start speedup,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,0,1655837169.130403,12,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,10,1655837169.577073,19,10,,0,0,0,0,0,16,1655837169.275513,23,6,start speedup,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,2,1655837169.130403,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,10,1655837169.577073,19,10,,0,0,0,0,0,16,1655837169.673216,23,6,,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,2,1655837169.130403,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,10,1655837169.577073,19,10,,0,0,0,0,0,16,1655837169.673216,23,6,,0,0,0,0,0,9,1655837168.765396,15,6,,0,0,0,0,0,2,1655837169.701694,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,10,1655837169.577073,19,10,,0,0,0,0,0,16,1655837169.673216,23,6,,0,0,0,0,0,9,1655837169.896827,15,6,,0,0,0,0,0,2,1655837169.701694,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837169.577073,20,10,,1.023684024810791,0,0,0,0,16,1655837170.299197,23,6,end speedup,0,0,0,0,0,9,1655837169.896827,15,6,,0,0,0,0,0,2,1655837169.701694,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837170.569144,20,10,,1.023684024810791,0,0,0,0,16,1655837170.299197,23,6,end speedup,0,0,0,0,0,9,1655837169.896827,15,6,,0,0,0,0,0,2,1655837169.701694,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837170.569144,20,10,,1.023684024810791,0,0,0,0,16,1655837170.299197,23,6,end speedup,0,0,0,0,0,9,1655837169.896827,15,6,,0,0,0,0,0,2,1655837170.786648,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837170.569144,20,10,,1.023684024810791,0,0,0,0,16,1655837170.299197,23,6,end speedup,0,0,0,0,0,9,1655837170.850694,15,6,,0,0,0,0,0,2,1655837170.786648,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837170.569144,20,10,,1.023684024810791,0,0,0,0,16,1655837170.953365,23,6,,0,0,0,0,0,11,1655837170.850694,17,6,,0,0,0,0,0,2,1655837170.786648,14,6,,False,,,,,,,,,,,,
0,0.2,0,0,0,11,1655837170.569144,20,10,,1.023684024810791,0,0,0,0,16,1655837170.953943,23,6,start speedup,0,0,0,0,0,11,1655837170.850694,17,6,,0,0,0,0,0,2,1655837170.786648,14,6,,False,,,,,,,,,,,,
